rewards,mean10_rewards
73.5,115.75
131.5,114.65
170.5,122.44999999999999
158.0,120.85
76.0,117.65
106.5,118.1
107.0,108.80000000000001
70.5,101.55000000000001
108.5,104.1
60.5,105.25
111.0,109.0
51.0,100.94999999999999
127.0,96.6
90.5,89.85
91.0,91.35
59.0,86.6
122.5,88.15
151.0,96.2
115.0,96.85
117.5,102.55
158.0,107.25
151.0,117.25
108.5,115.4
163.5,122.69999999999999
142.0,127.8
111.0,133.0
73.0,128.05
117.5,124.7
111.0,124.30000000000001
186.0,131.15
187.0,134.05
133.5,132.3
157.0,137.15
126.0,133.4
124.0,131.6
128.5,133.35000000000002
150.5,141.1
143.0,143.64999999999998
138.5,146.39999999999998
186.5,146.45
111.5,138.89999999999998
116.0,137.15
98.0,131.25
64.5,125.1
177.0,130.4
133.5,130.9
130.5,128.9
103.5,124.94999999999999
99.5,121.05000000000001
163.5,118.75
121.5,119.75
165.5,124.69999999999999
78.0,122.7
127.5,129.0
160.0,127.3
122.5,126.2
192.0,132.35
128.0,134.8
160.5,140.89999999999998
200.0,144.55
122.0,144.60000000000002
200.0,148.05
96.0,149.85
147.5,151.85
112.0,147.05
163.0,151.10000000000002
171.0,149.0
145.0,150.7
143.5,149.0
38.0,132.8
162.0,136.8
100.0,126.8
177.5,134.95
200.0,140.2
162.0,145.2
119.5,140.85
200.0,143.75
171.0,146.35000000000002
192.0,151.2
144.5,161.85
148.0,160.45
163.5,166.8
138.5,162.89999999999998
154.0,158.3
172.5,159.35
200.0,167.39999999999998
198.0,167.2
166.0,166.7
174.5,164.95
198.0,170.3
164.0,171.9
70.0,162.55
200.0,168.7
141.5,167.45
164.0,166.60000000000002
195.0,166.10000000000002
188.5,165.15
126.5,161.2
143.5,158.1
169.5,155.25
65.0,145.35000000000002
117.0,150.05
197.5,149.8
200.0,155.65
139.0,153.14999999999998
200.0,153.64999999999998
171.5,151.95
200.0,159.3
131.5,158.1
96.5,150.8
157.5,160.05
165.5,164.9
166.0,161.75
200.0,161.75
150.5,162.89999999999998
200.0,162.89999999999998
139.5,159.7
135.0,153.2
187.0,158.75
148.5,163.95
104.5,158.65
200.0,162.1
161.0,161.6
158.5,157.45
200.0,162.4
169.5,159.35
121.0,157.5
176.5,161.65
200.0,162.95
124.5,160.55
120.5,162.14999999999998
200.0,162.14999999999998
200.0,166.05
96.0,159.8
177.0,157.5
175.0,158.05
167.5,162.7
194.0,164.45
192.5,163.7
200.0,171.25
161.0,175.3
179.0,173.2
109.5,164.14999999999998
182.5,172.8
200.0,175.1
166.0,174.2
200.0,177.45
157.0,173.75
153.0,169.8
157.5,165.55
160.0,165.45
164.5,164.0
186.5,171.7
91.0,162.55
124.5,155.0
175.5,155.95
157.5,151.7
200.0,156.0
159.5,156.64999999999998
183.0,159.2
166.5,159.85000000000002
137.0,157.1
176.5,156.1
155.5,162.55
200.0,170.1
129.0,165.45
200.0,169.7
135.0,163.2
200.0,167.25
183.0,167.25
164.5,167.05
147.0,168.05
145.0,164.89999999999998
112.5,160.60000000000002
196.5,160.25
132.5,160.6
174.0,158.0
152.5,159.75
157.5,155.5
174.0,154.6
164.0,154.55
126.5,152.5
145.0,152.5
148.5,156.1
196.5,156.1
200.0,162.85
150.5,160.5
119.0,157.15
171.5,158.55
200.0,161.14999999999998
200.0,164.75
200.0,172.1
164.5,174.05
199.5,179.15
186.0,178.10000000000002
200.0,178.10000000000002
110.5,174.10000000000002
160.5,178.25
179.5,179.05
133.0,172.35
200.0,172.35
199.5,172.3
159.5,171.8
196.5,171.5
172.5,170.15
200.0,170.15
166.0,175.7
189.5,178.60000000000002
200.0,180.65
156.5,183.0
200.0,183.0
150.0,178.05
200.0,182.10000000000002
200.0,182.45
200.0,185.2
193.0,184.5
159.0,183.8
126.0,177.45
185.5,176.0
156.5,176.0
192.0,175.2
172.5,177.45
189.5,176.39999999999998
198.5,176.25
124.0,168.65
161.5,165.5
188.0,168.4
163.5,172.14999999999998
157.0,169.3
142.5,167.9
176.5,166.35000000000002
200.0,169.10000000000002
162.5,166.4
200.0,166.55
164.5,170.6
167.5,171.2
200.0,172.39999999999998
200.0,176.05
200.0,180.35
123.0,178.4
186.5,179.4
128.5,172.25
197.5,175.75
200.0,175.75
107.0,170.0
200.0,173.25
200.0,173.25
135.0,166.75
180.5,164.8
200.0,172.5
147.5,168.60000000000002
183.5,174.1
174.0,171.75
200.0,171.75
200.0,181.05
178.0,178.85
173.0,176.14999999999998
195.5,182.2
177.5,181.89999999999998
157.0,177.6
142.0,177.05
143.0,173.0
200.0,175.60000000000002
160.5,171.65
200.0,171.65
59.5,159.8
200.0,162.5
200.0,162.95
164.5,161.64999999999998
168.0,162.75
200.0,168.55
121.0,166.35
173.0,163.64999999999998
116.0,159.2
153.0,154.5
179.5,166.5
196.0,166.1
190.0,165.1
