rewards,mean10_rewards
97.0,84.65
25.0,80.25
59.5,74.4
69.0,71.55000000000001
32.5,68.5
20.5,60.05
134.5,64.05
115.0,70.6
58.5,71.75
123.5,72.5
62.5,69.05
76.5,74.2
157.5,84.0
65.0,83.6
53.5,85.7
60.0,89.65
71.5,83.35
102.5,82.1
73.0,83.55000000000001
78.0,79.0
71.5,79.9
64.5,78.7
141.0,77.05
109.5,81.5
40.5,80.19999999999999
110.0,85.19999999999999
107.0,88.75
58.0,84.3
81.5,85.15
69.0,84.25
30.0,80.1
55.0,79.15
73.0,72.35
103.0,71.69999999999999
94.5,77.1
108.5,76.95
129.5,79.2
192.5,92.65
51.0,89.6
150.0,97.7
194.0,114.1
127.0,121.30000000000001
123.5,126.35000000000001
86.5,124.7
97.5,125.0
60.0,120.15
171.0,124.3
89.5,114.0
77.5,116.65
102.0,111.85
124.5,104.9
62.5,98.45
164.0,102.5
106.5,104.5
127.0,107.44999999999999
39.0,105.35
192.0,107.44999999999999
84.5,106.95
47.5,103.94999999999999
128.0,106.55
89.0,103.0
139.5,110.7
75.5,101.85
71.0,98.3
29.5,88.55
132.0,97.85
102.5,88.9
106.5,91.1
93.5,95.7
35.0,86.4
163.5,93.85
138.5,93.75
104.0,96.6
43.5,93.85
71.0,98.0
182.5,103.05
176.5,110.45
72.0,107.0
96.0,107.25
74.0,111.15
93.0,104.1
87.5,99.0
192.0,107.80000000000001
81.5,111.6
121.0,116.6
53.0,103.65
55.0,91.5
177.5,102.05000000000001
77.0,100.15
192.5,112.0
168.0,119.5
149.0,125.65
86.5,115.1
174.0,124.35
89.5,121.2
93.5,125.25
119.0,131.65
161.5,130.05
115.0,133.85
78.0,122.4
129.0,118.5
83.5,111.94999999999999
79.0,111.19999999999999
154.0,109.2
64.0,106.65
34.0,100.69999999999999
99.5,98.75
126.5,95.25
176.0,101.35
58.0,99.35
95.0,95.95
102.0,97.80000000000001
178.5,107.75
127.0,105.05
152.0,113.85
122.0,122.65
152.5,127.95
88.5,124.14999999999999
125.0,119.05
156.0,128.85
118.0,131.15
200.0,140.95
84.5,131.55
145.5,133.39999999999998
175.5,135.75
123.0,135.85
146.0,135.2
200.0,146.35000000000002
88.5,142.7
139.5,141.05
130.5,142.3
169.0,139.2
158.0,146.55
72.0,139.2
100.5,131.7
107.0,130.1
154.5,130.95
138.5,124.80000000000001
68.0,122.75
123.5,121.15
200.0,128.1
148.0,126.0
164.0,126.60000000000001
158.0,135.2
146.0,139.75
68.0,135.85
132.5,133.64999999999998
140.5,133.85000000000002
60.5,133.1
137.5,134.5
103.0,124.8
177.0,127.7
124.5,123.75
163.0,124.25
102.0,119.85
92.0,122.25
114.5,120.44999999999999
186.5,125.05
167.0,135.7
123.5,134.3
99.5,133.95
167.5,133.0
178.5,138.4
93.0,131.4
57.0,126.9
129.0,130.6
133.0,132.45
191.0,132.9
200.0,136.2
169.5,140.8
161.0,146.95
107.0,140.89999999999998
116.5,134.7
175.0,142.89999999999998
118.5,149.05
166.0,152.75
137.5,153.2
162.0,150.3
135.0,143.8
146.0,141.45
74.0,132.75
143.0,136.35
121.5,136.85000000000002
97.0,129.05
127.5,129.95
109.5,124.3
153.5,125.9
140.0,123.7
150.5,125.25
139.5,124.60000000000001
157.0,132.9
170.0,135.6
168.0,140.25
188.5,149.39999999999998
138.0,150.45
186.5,158.15
182.0,161.0
144.5,161.45
121.5,158.55
91.5,153.75
55.0,143.55
181.0,144.65
126.0,140.45
143.0,135.9
118.0,133.89999999999998
91.5,124.4
165.5,122.75
92.0,117.5
102.0,115.55
145.5,120.95
110.5,126.5
103.0,118.7
156.5,121.75
126.5,120.1
200.0,128.3
62.0,125.35
116.0,120.4
168.5,128.05
131.0,130.95
151.5,131.55
195.0,140.0
184.5,148.15
93.0,141.8
136.0,142.75
73.0,130.05
156.0,139.45
117.0,139.55
140.5,136.75
117.0,135.35000000000002
