rewards,mean10_rewards
19.0,18.0
28.0,22.5
17.0,20.333333333333332
13.0,18.25
20.0,18.4
11.0,17.0
29.0,18.571428571428573
12.0,17.625
22.0,18.0
16.0,17.7
16.0,17.4
25.0,17.1
38.0,19.2
20.0,19.9
9.0,18.8
31.0,20.8
21.0,20.0
11.0,19.9
21.0,19.8
38.0,22.0
10.0,21.4
17.0,20.6
32.0,20.0
33.0,21.3
11.0,21.5
12.0,19.6
19.0,19.4
13.0,19.6
15.0,19.0
20.0,17.2
12.0,17.4
25.0,18.2
23.0,17.3
22.0,16.2
13.0,16.4
24.0,17.6
33.0,19.0
19.0,19.6
35.0,21.6
34.0,23.0
16.0,23.4
17.0,22.6
26.0,22.9
30.0,23.7
30.0,25.4
27.0,25.7
14.0,23.8
39.0,25.8
19.0,24.2
22.0,23.0
21.0,23.5
19.0,23.7
20.0,23.1
24.0,22.5
17.0,21.2
16.0,20.1
21.0,20.8
39.0,20.8
11.0,20.0
9.0,18.7
13.0,17.9
20.0,18.0
17.0,17.7
14.0,16.7
26.0,17.6
13.0,17.3
19.0,17.1
13.0,14.5
17.0,15.1
19.0,16.1
13.0,16.1
39.0,18.0
13.0,17.6
16.0,17.8
21.0,17.3
55.0,21.5
27.0,22.3
10.0,22.0
23.0,22.6
13.0,22.0
22.0,22.9
61.0,25.1
23.0,26.1
17.0,26.2
43.0,28.4
19.0,24.8
29.0,25.0
20.0,26.0
9.0,24.6
20.0,25.3
16.0,24.7
50.0,23.6
18.0,23.1
53.0,26.7
36.0,26.0
28.0,26.9
19.0,25.9
31.0,27.0
16.0,27.7
21.0,27.8
24.0,28.6
19.0,25.5
31.0,26.8
39.0,25.4
18.0,23.6
14.0,22.2
27.0,23.0
42.0,24.1
55.0,28.0
24.0,28.3
98.0,35.7
17.0,35.5
16.0,34.0
11.0,31.2
46.0,34.0
13.0,33.9
25.0,33.7
72.0,36.7
29.0,34.1
44.0,36.1
11.0,27.4
21.0,27.8
23.0,28.5
68.0,34.2
14.0,31.0
28.0,32.5
26.0,32.6
28.0,28.2
19.0,27.2
40.0,26.8
12.0,26.9
17.0,26.5
22.0,26.4
22.0,21.8
17.0,22.1
20.0,21.3
15.0,20.2
18.0,19.2
13.0,18.6
43.0,18.9
34.0,21.1
29.0,22.3
31.0,23.2
19.0,22.9
14.0,22.6
15.0,22.1
25.0,23.1
26.0,23.9
13.0,23.9
45.0,24.1
23.0,23.0
23.0,22.4
34.0,22.7
23.0,23.1
12.0,22.9
20.0,23.4
19.0,22.8
13.0,21.5
31.0,23.3
41.0,22.9
24.0,23.0
9.0,21.6
14.0,19.6
20.0,19.3
30.0,21.1
14.0,20.5
24.0,21.0
37.0,23.4
14.0,21.7
39.0,21.5
29.0,22.0
26.0,23.7
27.0,25.0
14.0,24.4
20.0,23.4
53.0,27.3
45.0,29.4
30.0,28.7
12.0,28.5
48.0,29.4
15.0,28.0
51.0,30.5
103.0,38.1
55.0,42.2
53.0,45.5
41.0,44.3
50.0,44.8
8.0,42.6
79.0,49.3
14.0,45.9
55.0,49.9
39.0,48.7
31.0,41.5
53.0,41.3
24.0,38.4
33.0,37.6
24.0,35.0
19.0,36.1
43.0,32.5
54.0,36.5
25.0,33.5
114.0,41.0
38.0,41.7
17.0,38.1
71.0,42.8
20.0,41.5
39.0,43.0
42.0,45.3
24.0,43.4
41.0,42.1
49.0,44.5
67.0,39.8
27.0,38.7
85.0,45.5
35.0,41.9
53.0,45.2
72.0,48.5
19.0,46.2
119.0,55.7
34.0,55.0
74.0,57.5
54.0,56.2
15.0,55.0
37.0,50.2
111.0,57.8
43.0,56.8
34.0,53.0
34.0,54.5
24.0,45.0
25.0,44.1
22.0,38.9
105.0,44.0
45.0,47.0
32.0,46.5
56.0,41.0
10.0,37.7
38.0,38.1
62.0,40.9
91.0,47.6
50.0,50.1
62.0,54.1
35.0,47.1
70.0,49.6
39.0,50.3
46.0,49.3
39.0,52.2
138.0,62.2
67.0,62.7
25.0,56.1
61.0,57.2
63.0,57.3
25.0,56.3
35.0,52.8
54.0,54.3
74.0,57.1
41.0,57.3
35.0,47.0
63.0,46.6
15.0,45.6
65.0,46.0
22.0,41.9
24.0,41.8
68.0,45.1
157.0,55.4
17.0,49.7
42.0,49.8
29.0,49.2
76.0,50.5
64.0,55.4
37.0,52.6
114.0,61.8
23.0,61.7
37.0,58.6
141.0,57.0
124.0,67.7
18.0,65.3
36.0,66.0
116.0,70.0
27.0,66.3
59.0,68.5
17.0,58.8
87.0,65.2
91.0,70.6
40.0,60.5
27.0,50.8
19.0,50.9
75.0,54.8
19.0,45.1
57.0,48.1
54.0,47.6
122.0,58.1
93.0,58.7
119.0,61.5
84.0,65.9
127.0,75.9
23.0,76.3
24.0,71.2
40.0,73.3
25.0,70.1
17.0,66.4
136.0,67.8
46.0,63.1
54.0,56.6
15.0,49.7
95.0,46.5
37.0,47.9
38.0,49.3
35.0,48.8
24.0,48.7
105.0,57.5
118.0,55.7
65.0,57.6
31.0,55.3
140.0,67.8
79.0,66.2
107.0,73.2
75.0,76.9
88.0,82.2
36.0,83.4
40.0,76.9
18.0,66.9
39.0,64.3
54.0,66.6
37.0,56.3
116.0,60.0
33.0,52.6
59.0,51.0
114.0,53.6
54.0,55.4
126.0,64.0
94.0,71.6
69.0,74.6
34.0,72.6
97.0,78.6
76.0,74.6
36.0,74.9
96.0,78.6
52.0,72.4
36.0,70.6
67.0,64.7
19.0,57.2
200.0,70.3
41.0,71.0
28.0,64.1
99.0,66.4
55.0,68.3
51.0,63.8
42.0,62.8
84.0,67.6
77.0,68.6
138.0,80.5
107.0,71.2
29.0,70.0
80.0,75.2
167.0,82.0
65.0,83.0
83.0,86.2
97.0,91.7
155.0,98.8
84.0,99.5
138.0,99.5
51.0,93.9
54.0,96.4
45.0,92.9
147.0,90.9
133.0,97.7
52.0,94.6
53.0,90.2
15.0,76.2
103.0,78.1
104.0,74.7
94.0,79.0
69.0,80.5
30.0,79.0
141.0,78.4
185.0,83.6
192.0,97.6
72.0,99.5
135.0,111.5
24.0,103.6
156.0,108.8
200.0,119.4
181.0,130.6
95.0,137.1
107.0,133.7
82.0,123.4
195.0,123.7
113.0,127.8
23.0,116.6
61.0,120.3
118.0,116.5
118.0,108.3
120.0,102.2
176.0,110.3
63.0,105.9
96.0,107.3
125.0,100.3
148.0,103.8
167.0,118.2
78.0,119.9
94.0,117.5
108.0,116.5
167.0,121.2
46.0,108.2
32.0,105.1
154.0,110.9
131.0,111.5
148.0,111.5
151.0,109.9
54.0,107.5
28.0,100.9
76.0,97.7
54.0,86.4
96.0,91.4
159.0,104.1
58.0,94.5
27.0,84.1
114.0,80.7
137.0,79.3
75.0,81.4
133.0,91.9
22.0,86.5
200.0,101.1
97.0,101.2
200.0,105.3
48.0,104.3
166.0,118.2
59.0,112.7
49.0,103.9
170.0,113.4
145.0,114.6
46.0,117.0
101.0,107.1
100.0,107.4
115.0,98.9
46.0,98.7
118.0,93.9
70.0,95.0
85.0,98.6
63.0,87.9
156.0,89.0
141.0,98.5
199.0,108.3
176.0,115.9
63.0,110.7
134.0,119.5
151.0,122.8
108.0,126.6
174.0,135.5
106.0,139.8
200.0,144.2
164.0,146.5
114.0,138.0
90.0,129.4
85.0,131.6
200.0,138.2
90.0,132.1
38.0,125.1
115.0,119.2
42.0,112.8
130.0,105.8
119.0,101.3
28.0,92.7
192.0,102.9
78.0,102.2
34.0,85.6
91.0,85.7
175.0,99.4
177.0,105.6
200.0,121.4
200.0,128.4
153.0,131.8
193.0,148.3
103.0,139.4
168.0,148.4
124.0,157.4
62.0,154.5
117.0,148.7
200.0,151.0
100.0,141.0
200.0,141.0
139.0,139.6
154.0,135.7
164.0,141.8
45.0,129.5
139.0,131.0
189.0,143.7
68.0,138.8
200.0,138.8
146.0,143.4
173.0,140.7
189.0,145.7
40.0,134.3
200.0,137.9
56.0,139.0
200.0,145.1
103.0,136.5
94.0,139.1
114.0,130.5
172.0,133.1
42.0,120.0
141.0,115.2
187.0,129.9
200.0,129.9
116.0,135.9
38.0,119.7
200.0,129.4
85.0,128.5
172.0,134.3
200.0,137.1
200.0,152.9
152.0,154.0
146.0,149.9
160.0,145.9
200.0,154.3
130.0,163.5
41.0,147.6
53.0,144.4
200.0,147.2
78.0,135.0
108.0,125.8
115.0,122.1
200.0,127.5
162.0,127.7
200.0,127.7
183.0,133.0
200.0,148.9
112.0,154.8
129.0,147.7
200.0,159.9
170.0,166.1
200.0,174.6
58.0,160.4
100.0,154.2
118.0,146.0
154.0,143.1
124.0,135.5
101.0,134.4
193.0,140.8
168.0,137.6
200.0,140.6
173.0,137.9
142.0,146.3
140.0,150.3
144.0,152.9
55.0,143.0
131.0,143.7
200.0,153.6
181.0,152.4
200.0,155.6
30.0,138.6
184.0,139.7
200.0,145.5
52.0,136.7
142.0,136.5
190.0,150.0
195.0,156.4
200.0,156.4
200.0,158.3
123.0,150.6
200.0,167.6
200.0,169.2
162.0,165.4
124.0,172.6
122.0,170.6
109.0,162.5
141.0,157.1
170.0,154.1
200.0,154.1
200.0,161.8
184.0,160.2
133.0,153.5
154.0,152.7
62.0,146.5
200.0,154.3
167.0,160.1
200.0,166.0
194.0,168.4
175.0,165.9
161.0,162.0
80.0,151.6
200.0,158.3
200.0,162.9
200.0,176.7
37.0,160.4
200.0,163.7
200.0,163.7
69.0,151.2
200.0,153.7
200.0,157.6
200.0,169.6
200.0,169.6
200.0,169.6
200.0,169.6
137.0,179.6
96.0,169.2
185.0,167.7
200.0,180.8
96.0,170.4
200.0,170.4
112.0,161.6
176.0,159.2
163.0,155.5
178.0,153.3
180.0,157.6
141.0,162.1
155.0,159.1
53.0,144.4
36.0,138.4
95.0,127.9
200.0,136.7
130.0,132.1
52.0,121.0
119.0,115.1
174.0,114.5
184.0,118.8
164.0,119.7
200.0,134.4
192.0,150.0
182.0,158.7
200.0,158.7
200.0,165.7
155.0,176.0
184.0,182.5
200.0,185.1
135.0,180.2
57.0,169.5
146.0,164.1
198.0,164.7
153.0,161.8
186.0,160.4
134.0,153.8
119.0,150.2
200.0,151.8
177.0,149.5
121.0,148.1
124.0,154.8
200.0,160.2
159.0,156.3
145.0,155.5
167.0,153.6
157.0,155.9
60.0,150.0
91.0,139.1
200.0,141.4
200.0,149.3
200.0,156.9
200.0,156.9
40.0,145.0
200.0,150.5
200.0,153.8
136.0,151.7
200.0,165.7
155.0,172.1
142.0,166.3
152.0,161.5
192.0,160.7
154.0,156.1
50.0,157.1
200.0,157.1
21.0,139.2
81.0,133.7
163.0,130.0
171.0,131.6
143.0,131.7
200.0,136.5
105.0,127.8
153.0,127.7
200.0,142.7
200.0,142.7
200.0,160.6
200.0,172.5
133.0,169.5
200.0,172.4
156.0,173.7
108.0,164.5
190.0,173.0
124.0,170.1
200.0,170.1
152.0,165.3
200.0,165.3
170.0,162.3
141.0,163.1
121.0,155.2
112.0,150.8
200.0,160.0
133.0,154.3
160.0,157.9
200.0,157.9
141.0,156.8
200.0,156.8
200.0,159.8
163.0,162.0
200.0,169.9
164.0,175.1
200.0,175.1
200.0,181.8
200.0,185.8
200.0,185.8
200.0,191.7
93.0,181.0
57.0,166.7
170.0,167.4
182.0,165.6
111.0,160.3
200.0,160.3
94.0,149.7
141.0,143.8
200.0,143.8
200.0,143.8
184.0,152.9
187.0,165.9
153.0,164.2
187.0,164.7
200.0,173.6
200.0,173.6
200.0,184.2
110.0,181.1
170.0,178.1
200.0,178.1
132.0,172.9
174.0,171.6
99.0,166.2
200.0,167.5
33.0,150.8
182.0,149.0
134.0,142.4
135.0,144.9
36.0,131.5
165.0,128.0
180.0,132.8
132.0,128.6
166.0,135.3
190.0,134.3
200.0,151.0
196.0,152.4
200.0,159.0
200.0,165.5
200.0,181.9
200.0,185.4
160.0,183.4
200.0,190.2
200.0,193.6
200.0,194.6
186.0,193.2
200.0,193.6
200.0,193.6
200.0,193.6
96.0,183.2
200.0,183.2
117.0,178.9
156.0,174.5
190.0,173.5
159.0,169.4
200.0,170.8
200.0,170.8
200.0,170.8
200.0,170.8
138.0,175.0
71.0,162.1
200.0,170.4
188.0,173.6
72.0,161.8
160.0,161.9
189.0,160.8
189.0,159.7
200.0,159.7
200.0,159.7
181.0,164.0
200.0,176.9
200.0,176.9
200.0,178.1
200.0,190.9
122.0,187.1
200.0,188.2
200.0,189.3
200.0,189.3
145.0,183.8
183.0,184.0
200.0,184.0
164.0,180.4
200.0,180.4
171.0,177.5
64.0,171.7
200.0,171.7
145.0,166.2
200.0,166.2
160.0,167.7
192.0,168.6
200.0,168.6
200.0,172.2
200.0,172.2
90.0,164.1
200.0,177.7
156.0,173.3
200.0,178.8
200.0,178.8
175.0,180.3
200.0,181.1
200.0,181.1
200.0,181.1
200.0,181.1
149.0,187.0
141.0,181.1
200.0,185.5
200.0,185.5
126.0,178.1
93.0,169.9
200.0,169.9
106.0,160.5
191.0,159.6
200.0,159.6
200.0,164.7
200.0,170.6
86.0,159.2
72.0,146.4
120.0,145.8
200.0,156.5
200.0,156.5
200.0,165.9
200.0,166.8
200.0,166.8
200.0,166.8
200.0,166.8
198.0,178.0
170.0,187.8
200.0,195.8
200.0,195.8
176.0,193.4
200.0,193.4
200.0,193.4
200.0,193.4
200.0,193.4
187.0,192.1
200.0,192.3
171.0,192.4
200.0,192.4
200.0,192.4
200.0,194.8
200.0,194.8
200.0,194.8
200.0,194.8
175.0,192.3
142.0,187.8
170.0,184.8
176.0,185.3
92.0,174.5
94.0,163.9
200.0,163.9
200.0,163.9
200.0,163.9
200.0,163.9
134.0,159.8
160.0,161.6
101.0,154.7
200.0,157.1
200.0,167.9
200.0,178.5
200.0,178.5
157.0,174.2
200.0,174.2
147.0,168.9
106.0,166.1
140.0,164.1
92.0,163.2
189.0,162.1
123.0,154.4
92.0,143.6
188.0,142.4
130.0,139.7
109.0,130.6
174.0,133.3
200.0,142.7
200.0,148.7
200.0,159.5
200.0,160.6
179.0,166.2
200.0,177.0
200.0,178.2
187.0,183.9
190.0,192.0
130.0,187.6
142.0,181.8
141.0,175.9
169.0,172.8
200.0,172.8
200.0,174.9
137.0,168.6
200.0,168.6
200.0,169.9
63.0,157.2
200.0,164.2
200.0,170.0
174.0,173.3
200.0,176.4
200.0,176.4
167.0,173.1
128.0,172.2
146.0,166.8
200.0,166.8
200.0,180.5
76.0,168.1
112.0,159.3
200.0,161.9
128.0,154.7
200.0,154.7
200.0,158.0
200.0,165.2
200.0,170.6
200.0,170.6
79.0,158.5
200.0,170.9
152.0,174.9
153.0,170.2
200.0,177.4
181.0,175.5
99.0,165.4
200.0,165.4
142.0,159.6
116.0,151.2
108.0,154.1
200.0,154.1
28.0,141.7
199.0,146.3
200.0,146.3
152.0,143.4
160.0,149.5
139.0,143.4
200.0,149.2
200.0,157.6
159.0,162.7
127.0,155.4
200.0,172.6
200.0,172.7
155.0,168.2
200.0,173.0
111.0,168.1
200.0,174.2
175.0,171.7
143.0,166.0
184.0,168.5
200.0,175.8
200.0,175.8
145.0,170.3
125.0,167.3
200.0,167.3
129.0,169.1
193.0,168.4
200.0,170.9
129.0,169.5
101.0,161.2
150.0,156.2
200.0,156.2
104.0,152.1
196.0,159.2
200.0,159.2
200.0,166.3
182.0,165.2
200.0,165.2
149.0,167.2
200.0,177.1
127.0,174.8
200.0,174.8
200.0,184.4
200.0,184.8
200.0,184.8
184.0,183.2
200.0,185.0
200.0,185.0
200.0,190.1
175.0,187.6
200.0,194.9
200.0,194.9
200.0,194.9
89.0,183.8
200.0,183.8
200.0,185.4
158.0,181.2
194.0,180.6
170.0,177.6
189.0,179.0
188.0,177.8
174.0,175.2
164.0,171.6
167.0,179.4
200.0,179.4
200.0,179.4
199.0,183.5
200.0,184.1
200.0,187.1
179.0,186.1
200.0,187.3
200.0,189.9
200.0,193.5
200.0,196.8
195.0,196.3
200.0,196.3
200.0,196.4
152.0,191.6
200.0,191.6
200.0,193.7
200.0,193.7
200.0,193.7
159.0,189.6
200.0,189.6
200.0,190.1
200.0,190.1
200.0,190.1
200.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
200.0,199.0
200.0,199.0
159.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
200.0,194.9
182.0,193.1
200.0,193.1
165.0,189.6
200.0,193.7
162.0,189.9
138.0,183.7
162.0,179.9
157.0,175.6
200.0,175.6
169.0,172.5
178.0,172.1
126.0,164.7
152.0,163.4
200.0,163.4
162.0,163.4
156.0,165.2
200.0,169.0
200.0,173.3
200.0,173.3
200.0,176.4
200.0,178.6
131.0,179.1
78.0,171.7
189.0,170.6
200.0,174.4
200.0,178.8
200.0,178.8
117.0,170.5
195.0,170.0
200.0,170.0
179.0,167.9
200.0,174.8
179.0,184.9
117.0,177.7
183.0,176.0
192.0,175.2
103.0,165.5
134.0,167.2
144.0,162.1
168.0,158.9
186.0,159.6
200.0,159.6
130.0,154.7
200.0,163.0
200.0,164.7
160.0,161.5
200.0,171.2
200.0,177.8
146.0,178.0
166.0,177.8
179.0,177.1
174.0,174.5
200.0,181.5
154.0,176.9
187.0,175.6
200.0,179.6
184.0,178.0
172.0,175.2
116.0,172.2
183.0,173.9
164.0,172.4
200.0,175.0
196.0,174.6
200.0,179.2
138.0,174.3
200.0,174.3
169.0,172.8
200.0,175.6
200.0,184.0
127.0,178.4
200.0,182.0
200.0,182.0
200.0,182.4
102.0,172.6
186.0,177.4
192.0,176.6
200.0,179.7
200.0,179.7
200.0,179.7
137.0,180.7
168.0,177.5
200.0,177.5
200.0,177.5
200.0,187.3
200.0,188.7
147.0,184.2
181.0,182.3
200.0,182.3
200.0,182.3
175.0,186.1
200.0,189.3
116.0,180.9
162.0,177.1
200.0,177.1
174.0,174.5
142.0,174.0
200.0,175.9
200.0,175.9
199.0,175.8
200.0,178.3
200.0,178.3
74.0,174.1
200.0,177.9
200.0,177.9
200.0,180.5
200.0,186.3
152.0,181.5
200.0,181.5
200.0,181.6
200.0,181.6
198.0,181.4
200.0,194.0
200.0,194.0
200.0,194.0
146.0,188.6
38.0,172.4
200.0,177.2
200.0,177.2
156.0,172.8
200.0,172.8
200.0,173.0
200.0,173.0
200.0,173.0
200.0,173.0
100.0,168.4
182.0,182.8
61.0,168.9
165.0,165.4
200.0,169.8
200.0,169.8
200.0,169.8
159.0,165.7
200.0,165.7
200.0,165.7
200.0,175.7
197.0,177.2
185.0,189.6
179.0,191.0
184.0,189.4
200.0,189.4
200.0,189.4
184.0,191.9
194.0,191.3
167.0,188.0
153.0,183.3
200.0,183.6
200.0,185.1
200.0,187.2
200.0,188.8
200.0,188.8
200.0,188.8
200.0,190.4
123.0,183.3
200.0,186.6
200.0,191.3
162.0,187.5
200.0,187.5
156.0,183.1
153.0,178.4
128.0,171.2
178.0,169.0
200.0,169.0
144.0,171.1
